gifID,Name,Body Part,Target,Equipment,Secondary Muscles,Instructions,WorkoutType,Difficulty,Intensity
11,assisted hanging knee raise,waist,abs,assisted,hip flexors,"Hang from a pull-up bar with your arms fully extended and your palms facing away from you.  Engage your core muscles and lift your knees towards your chest, bending at the hips and knees.  Pause for a moment at the top of the movement, squeezing your abs.  Slowly lower your legs back down to the starting position.  Repeat for the desired number of repetitions.",Core,Beginner,0.25
12,assisted lying leg raise with lateral throw down,waist,abs,assisted,"hip flexors, obliques","Lie flat on your back with your legs extended and your arms by your sides.  Place your hands under your glutes for support.  Engage your abs and lift your legs off the ground, keeping them straight.  While keeping your legs together, lower them to one side until they are a few inches above the ground.  Pause for a moment, then lift your legs back to the starting position.  Repeat the movement to the other side.  Continue alternating sides for the desired number of repetitions.",Core,Beginner,0.25
13,assisted lying leg raise with throw down,waist,abs,assisted,"hip flexors, quadriceps","Lie flat on your back with your legs extended and your arms by your sides.  Place your hands under your glutes for support.  Engage your core and lift your legs off the ground, keeping them straight.  Raise your legs until they are perpendicular to the ground.  Lower your legs back down to the starting position.  Simultaneously, throw your legs down towards the ground, keeping them straight.  Raise your legs back up to the starting position.  Repeat for the desired number of repetitions.",Core,Beginner,0.25
14,assisted motion russian twist,waist,abs,medicine ball,"obliques, lower back","Sit on the ground with your knees bent and feet flat on the floor.  Hold the medicine ball with both hands in front of your chest.  Lean back slightly, engaging your abs and keeping your back straight.  Slowly twist your torso to the right, bringing the medicine ball towards the right side of your body.  Pause for a moment, then twist your torso to the left, bringing the medicine ball towards the left side of your body.  Continue alternating sides for the desired number of repetitions.",Flexibility,Beginner,0.2
71,barbell press sit-up,waist,abs,barbell,"shoulders, chest","Lie flat on your back on a mat with your knees bent and feet flat on the ground.  Hold the barbell with an overhand grip, resting it on your chest.  Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.  Pause for a moment at the top, then slowly lower your upper body back down to the starting position.  Repeat for the desired number of repetitions.",Core,Intermediate,0.68
168,cable hip adduction,upper legs,adductors,cable,"glutes, quadriceps","Attach the ankle cuff to your ankle and stand facing the cable machine.  Position yourself far enough away from the machine so that there is tension on the cable.  Place your hands on the machine for support.  Keeping your leg straight, slowly move your leg across your body towards the midline.  Pause for a moment at the end of the movement, then slowly return to the starting position.  Repeat for the desired number of repetitions.",Endurance,Intermediate,0.67
598,lever seated hip adduction,upper legs,adductors,leverage machine,"hamstrings, glutes","Adjust the seat height and position yourself on the machine with your back against the backrest.  Place your feet on the footrests and grasp the handles for stability.  Engage your adductor muscles and slowly bring your legs together, squeezing your inner thighs.  Pause for a moment at the peak contraction, then slowly return to the starting position.  Repeat for the desired number of repetitions.",Endurance,Beginner,0.37
1494,butterfly yoga pose,upper legs,adductors,body weight,"hamstrings, groin","Sit on the floor with your legs extended in front of you.  Bend your knees and bring the soles of your feet together, allowing your knees to fall out to the sides.  Hold onto your ankles or feet with your hands.  Sit up tall and lengthen your spine.  Gently press your knees down towards the floor, feeling a stretch in your inner thighs.  Hold this position for a few breaths.  To release, slowly bring your knees back up and extend your legs.",Flexibility,Beginner,0.2
1712,assisted side lying adductor stretch,upper legs,adductors,assisted,"hamstrings, glutes","Lie on your side with your legs straight and stacked on top of each other.  Bend your bottom leg slightly for stability.  Place your top foot on a stable surface, such as a bench or step.  Keeping your top leg straight, slowly lower it towards the ground, feeling a stretch in your inner thigh.  Hold the stretch for 20-30 seconds.  Return to the starting position and repeat on the other side.",Flexibility,Beginner,0.15
1775,side plank hip adduction,upper legs,adductors,body weight,"obliques, glutes","Start by lying on your side with your legs extended and stacked on top of each other.  Prop yourself up on your forearm, keeping your elbow directly below your shoulder.  Engage your core and lift your hips off the ground, creating a straight line from your head to your feet.  While maintaining the side plank position, lift your top leg towards the ceiling, keeping it straight.  Slowly lower your leg back down to the starting position.  Repeat for the desired number of repetitions, then switch sides.",Endurance,Beginner,0.35
3667,side lying hip adduction (male),upper legs,adductors,body weight,"glutes, hamstrings","Lie on your side with your legs straight and stacked on top of each other.  Place your bottom arm under your head for support.  Engage your adductors and lift your top leg as high as possible without rotating your hips or leaning backward.  Pause for a moment at the top, then slowly lower your leg back down to the starting position.  Repeat for the desired number of repetitions, then switch sides.",Endurance,Beginner,0.35
23,barbell alternate biceps curl,upper arms,biceps,barbell,forearms,"Stand up straight with your feet shoulder-width apart and hold a barbell in each hand, palms facing forward.  Keep your upper arms stationary and exhale as you curl the weights while contracting your biceps.  Continue to raise the barbells until your biceps are fully contracted and the barbells are at shoulder level.  Hold the contracted position for a brief pause as you squeeze your biceps.  Inhale as you slowly begin to lower the barbells back to the starting position.  Repeat for the desired number of repetitions, alternating arms.",Strength,Intermediate,0.73
31,barbell curl,upper arms,biceps,barbell,forearms,"Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing forward.  Keep your elbows close to your torso and exhale as you curl the weights while contracting your biceps.  Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level.  Hold the contracted position for a brief pause as you squeeze your biceps.  Inhale as you slowly begin to lower the bar back to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
38,barbell drag curl,upper arms,biceps,barbell,forearms,"Stand with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing up.  Let the barbell hang at arm's length in front of your thighs.  Keeping your upper arms stationary, curl the barbell up towards your chest by contracting your biceps.  Pause for a moment at the top, then slowly lower the barbell back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
59,barbell lying preacher curl,upper arms,biceps,barbell,forearms,"Sit on a preacher bench with your chest against the pad and your arms extended over the edge, holding a barbell with an underhand grip.  Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps.  Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level.  Hold the contracted position for a brief pause as you squeeze your biceps.  Inhale and slowly begin to lower the barbell back to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.43
70,barbell preacher curl,upper arms,biceps,barbell,forearms,"Sit on a preacher bench with your upper arms resting on the pad and your chest against the support.  Grasp the barbell with an underhand grip, slightly wider than shoulder-width apart.  Keeping your upper arms stationary, exhale and curl the barbell up towards your shoulders.  Pause for a moment at the top, squeezing your biceps.  Inhale and slowly lower the barbell back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
72,barbell prone incline curl,upper arms,biceps,barbell,forearms,"Set up an incline bench at a 45-degree angle.  Lie face down on the bench with your chest and stomach resting against it.  Hold a barbell with an underhand grip, shoulder-width apart.  Extend your arms fully, allowing the barbell to hang down towards the floor.  Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps.  Continue to raise the barbell until your biceps are fully contracted and the bar is at shoulder level.  Hold the contracted position for a brief pause as you squeeze your biceps.  Inhale and slowly begin to lower the barbell back to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
80,barbell reverse curl,upper arms,biceps,barbell,forearms,"Stand up straight with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down.  Keep your upper arms stationary and exhale as you curl the barbell upward, contracting your biceps.  Continue to raise the barbell until your biceps are fully contracted and the barbell is at shoulder level.  Hold the contracted position for a brief pause as you squeeze your biceps.  Inhale as you slowly lower the barbell back to the starting position, keeping your upper arms stationary.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
81,barbell reverse preacher curl,upper arms,biceps,barbell,forearms,"Sit on a preacher bench with your chest against the pad and your arms extended straight down, holding a barbell with an overhand grip.  Keeping your upper arms stationary, exhale and curl the barbell upward while contracting your biceps.  Continue to raise the barbell until your biceps are fully contracted and the barbell is at shoulder level.  Hold the contracted position for a brief pause as you squeeze your biceps.  Inhale and slowly lower the barbell back to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
89,barbell seated close-grip concentration curl,upper arms,biceps,barbell,forearms,"Sit on a bench with your feet flat on the floor and hold a barbell with an underhand grip, hands shoulder-width apart.  Rest your upper arms against your inner thighs, just above your knees, and let the barbell hang down in front of you.  Keeping your upper arms stationary, exhale and curl the barbell up towards your shoulders, contracting your biceps.  Hold the contracted position for a brief pause, then inhale and slowly lower the barbell back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.43
106,barbell standing close grip curl,upper arms,biceps,barbell,forearms,"Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, hands close together.  Keep your elbows close to your torso and your upper arms stationary throughout the movement.  Exhale as you curl the weights while contracting your biceps. Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level.  Hold the contracted position for a brief pause as you squeeze your biceps.  Inhale as you slowly begin to bring the barbell back to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
1371,barbell seated calf raise,lower legs,calves,barbell,hamstrings,"Sit on a bench with your feet flat on the floor and a barbell resting on your thighs.  Place the balls of your feet on a raised platform, such as a block or step.  Lower your heels as far as possible, feeling a stretch in your calves.  Raise your heels as high as possible, contracting your calves.  Repeat for the desired number of repetitions.",Endurance,Beginner,0.43
108,barbell standing leg calf raise,lower legs,calves,barbell,"hamstrings, glutes","Stand with your feet shoulder-width apart and place a barbell across your upper back.  Raise your heels off the ground as high as possible, using your calves.  Pause for a moment at the top, then slowly lower your heels back down to the starting position.  Repeat for the desired number of repetitions.",Endurance,Intermediate,0.73
111,barbell standing rocking leg calf raise,lower legs,calves,barbell,"hamstrings, quadriceps","Stand with your feet shoulder-width apart and hold a barbell across your upper back.  Raise your heels off the ground as high as possible, balancing on the balls of your feet.  Slowly lower your heels back down to the starting position.  Repeat for the desired number of repetitions.",Endurance,Intermediate,0.73
257,circles knee stretch,lower legs,calves,body weight,"hamstrings, quadriceps","Stand with your feet shoulder-width apart and your hands on your hips.  Bend your knees slightly and lift your heels off the ground, balancing on the balls of your feet.  Keeping your knees bent, rotate your knees in a circular motion, first clockwise and then counterclockwise.  Perform the movement for the desired number of repetitions.",Flexibility,Beginner,0.2
284,donkey calf raise,lower legs,calves,body weight,"hamstrings, glutes","Stand with your toes on an elevated surface, such as a step or block.  Place your hands on a stable support, such as a wall or railing, for balance.  Raise your heels as high as possible, lifting your body weight onto the balls of your feet.  Pause for a moment at the top, then slowly lower your heels back down to the starting position.  Repeat for the desired number of repetitions.",Endurance,Beginner,0.35
400,dumbbell seated one leg calf raise,lower legs,calves,dumbbell,"hamstrings, glutes","Sit on a bench or chair with your feet flat on the ground and a dumbbell resting on your right thigh.  Extend your left leg straight out in front of you, keeping your foot flexed.  Place the ball of your right foot on an elevated surface, such as a step or weight plate.  Using your calf muscles, raise your right heel as high as possible.  Pause for a moment at the top, then slowly lower your heel back down to the starting position.  Repeat for the desired number of repetitions, then switch legs.",Endurance,Beginner,0.35
409,dumbbell single leg calf raise,lower legs,calves,dumbbell,ankles,"Stand on the edge of a step or platform with your heels hanging off and your toes on the step.  Hold a dumbbell in one hand and place your other hand on a wall or railing for support.  Raise your heel as high as possible, lifting your body up onto your toes.  Pause for a moment at the top, then slowly lower your heel back down below the step.  Repeat for the desired number of repetitions, then switch to the other leg.",Endurance,Beginner,0.35
417,dumbbell standing calf raise,lower legs,calves,dumbbell,ankles,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand.  Raise your heels off the ground as high as possible, using your calves.  Pause for a moment at the top, then slowly lower your heels back down to the starting position.  Repeat for the desired number of repetitions.",Endurance,Beginner,0.35
594,lever seated calf raise,lower legs,calves,leverage machine,"soleus, ankle stabilizers","Adjust the seat height so that your knees are slightly bent and your feet are flat on the footplate.  Place your toes on the footplate with your heels hanging off the edge.  Grasp the handles or the sides of the seat for stability.  Push through the balls of your feet to raise your heels as high as possible.  Pause for a moment at the top, then slowly lower your heels back down to the starting position.  Repeat for the desired number of repetitions.",Endurance,Beginner,0.37
605,lever standing calf raise,lower legs,calves,leverage machine,"soleus, ankle stabilizers","Adjust the machine to your height and stand with your feet shoulder-width apart.  Place your shoulders under the pads and hold onto the handles for stability.  Raise your heels as high as possible by extending your ankles.  Pause for a moment at the top, then slowly lower your heels back down to the starting position.  Repeat for the desired number of repetitions.",Endurance,Intermediate,0.67
501,jack burpee,cardio,cardiovascular system,body weight,"quadriceps, hamstrings, calves, shoulders, triceps, core","Start in a standing position with your feet shoulder-width apart.  Lower your body into a squat position, placing your hands on the ground in front of you.  Kick your feet back, landing in a push-up position.  Perform a push-up, lowering your chest to the ground and then pushing back up.  Jump your feet forward, landing in a squat position.  Jump up explosively, reaching your arms overhead.  Land softly and immediately lower back into the squat position to begin the next repetition.",Cardio,Beginner,0.4
630,mountain climber,cardio,cardiovascular system,body weight,"core, shoulders, triceps","Start in a high plank position with your hands directly under your shoulders and your body in a straight line.  Engage your core and bring your right knee towards your chest, then quickly switch and bring your left knee towards your chest.  Continue alternating legs in a running motion, keeping your hips low and your core engaged.  Maintain a steady pace and breathe evenly throughout the exercise.  Repeat for the desired number of repetitions.",Cardio,Beginner,0.4
684,run (equipment),cardio,cardiovascular system,body weight,"quadriceps, hamstrings, calves","Start by standing upright with your feet hip-width apart.  Engage your core and keep your upper body relaxed.  Begin jogging in place, lifting your knees up towards your chest and landing softly on the balls of your feet.  Maintain a steady pace and continue jogging for the desired duration or distance.  Remember to breathe deeply and maintain good posture throughout the exercise.",Cardio,Beginner,0.4
685,run,cardio,cardiovascular system,body weight,"quadriceps, hamstrings, calves","Start by standing upright with your feet hip-width apart.  Engage your core and keep your upper body relaxed.  Begin jogging in place, lifting your knees up towards your chest and landing softly on the balls of your feet.  Maintain a steady pace and continue jogging for the desired duration or distance.  Remember to breathe deeply and maintain good posture throughout the exercise.",Cardio,Beginner,0.4
798,stationary bike walk,cardio,cardiovascular system,leverage machine,"quadriceps, hamstrings, calves","Adjust the seat height and position on the stationary bike to ensure proper alignment.  Place your feet on the pedals and secure them with the straps if available.  Start pedaling at a comfortable pace, keeping your back straight and core engaged.  Maintain a steady rhythm and increase the resistance level if desired.  Continue pedaling for the desired duration of your cardio workout.  Cool down by gradually reducing your pace and resistance level.  Stretch your leg muscles after the workout to prevent tightness and promote recovery.",Endurance,Beginner,0.42
1160,burpee,cardio,cardiovascular system,body weight,"quadriceps, hamstrings, calves, shoulders, chest","Start in a standing position with your feet shoulder-width apart.  Lower your body into a squat position by bending your knees and placing your hands on the floor in front of you.  Kick your feet back into a push-up position.  Perform a push-up, keeping your body in a straight line.  Jump your feet back into the squat position.  Jump up explosively, reaching your arms overhead.  Land softly and immediately lower back into a squat position to begin the next repetition.",Cardio,Beginner,0.4
1201,dumbbell burpee,cardio,cardiovascular system,dumbbell,"quadriceps, hamstrings, calves, shoulders, triceps, core","Start in a standing position with your feet shoulder-width apart and a dumbbell in each hand.  Lower your body into a squat position, placing the dumbbells on the ground in front of you.  Kick your feet back into a push-up position, keeping your body in a straight line.  Perform a push-up, bending your elbows and lowering your chest towards the ground.  Jump your feet back towards your hands, landing in a squat position.  Stand up explosively, lifting the dumbbells off the ground and bringing them to your shoulders.  Press the dumbbells overhead, fully extending your arms.  Lower the dumbbells back to your shoulders and repeat the entire sequence for the desired number of repetitions.",Cardio,Beginner,0.4
2141,walk elliptical cross trainer,cardio,cardiovascular system,elliptical machine,"quadriceps, hamstrings, glutes, calves","Adjust the resistance level and incline of the elliptical machine to your desired settings.  Step onto the pedals of the machine and grip the handles lightly.  Begin by pushing down with your feet and pulling the handles towards your body.  Continue this motion, alternating between pushing and pulling, to simulate a walking or running motion.  Maintain a steady pace and keep your core engaged throughout the exercise.  Continue for the desired duration of your cardio workout.  Gradually decrease the intensity and speed of the machine before stepping off.",Endurance,Beginner,0.4
2311,walking on stepmill,cardio,cardiovascular system,stepmill machine,"quadriceps, hamstrings, glutes, calves","Adjust the stepmill machine to a comfortable level.  Step onto the machine and place your hands on the handrails for support.  Start walking by placing one foot on a step and then the other, alternating between legs.  Maintain an upright posture and engage your core muscles.  Continue walking for the desired duration or distance.  Gradually increase the intensity or speed as you become more comfortable with the exercise.  Remember to cool down and stretch after completing the exercise.",Endurance,Beginner,0.4
41,barbell front raise,shoulders,delts,barbell,"biceps, triceps","Stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip.  Keep your arms straight and lift the barbell forward and upward until it reaches shoulder level.  Pause for a moment at the top, then slowly lower the barbell back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
67,barbell one arm snatch,shoulders,delts,barbell,"traps, forearms, core","Stand with your feet shoulder-width apart, toes pointing slightly outwards.  Hold the barbell with an overhand grip, hands slightly wider than shoulder-width apart.  Bend your knees and lower your hips into a squat position, keeping your back straight and chest up.  Explosively extend your hips, knees, and ankles, driving the barbell upwards.  As the barbell reaches chest level, pull it upwards with your arm, keeping it close to your body.  Rotate your elbow under the barbell and extend your arm fully overhead, locking out your elbow.  Lower the barbell back down to the starting position in a controlled manner.  Repeat for the desired number of repetitions, then switch arms.",Strength,Advanced,0.98
75,barbell rear delt raise,shoulders,delts,barbell,"traps, rhomboids","Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down.  Bend your knees slightly and hinge forward at the hips, keeping your back straight.  Raise the barbell out to the sides, keeping your arms straight, until they are parallel to the ground.  Pause for a moment at the top, then slowly lower the barbell back to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
76,barbell rear delt row,shoulders,delts,barbell,"trapezius, rhomboids, biceps","Stand with your feet shoulder-width apart and knees slightly bent.  Hold a barbell with an overhand grip, hands slightly wider than shoulder-width apart.  Bend forward at the hips, keeping your back straight and chest up.  Pull the barbell towards your chest, squeezing your shoulder blades together.  Pause for a moment at the top, then slowly lower the barbell back to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
86,barbell seated behind head military press,shoulders,delts,barbell,"triceps, upper back","Sit on a bench with your back straight and feet flat on the ground.  Hold the barbell with an overhand grip, slightly wider than shoulder-width apart.  Lift the barbell off the rack and bring it down to shoulder level, behind your head.  Press the barbell upward until your arms are fully extended.  Lower the barbell back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.43
87,barbell seated bradford rocky press,shoulders,delts,barbell,"triceps, upper back","Sit on a bench with your back straight and feet flat on the ground.  Hold the barbell with an overhand grip, slightly wider than shoulder-width apart.  Lift the barbell to shoulder height, keeping your elbows slightly bent and pointing forward.  Press the barbell overhead, fully extending your arms.  Lower the barbell back to shoulder height and repeat for the desired number of repetitions.",Strength,Beginner,0.43
91,barbell seated overhead press,shoulders,delts,barbell,"triceps, upper back","Sit on a bench with your back straight and feet flat on the ground.  Hold the barbell with an overhand grip, slightly wider than shoulder-width apart.  Lift the barbell off the rack and bring it to shoulder level, with your elbows bent and palms facing forward.  Press the barbell overhead by extending your arms fully.  Pause for a moment at the top, then slowly lower the barbell back to shoulder level.  Repeat for the desired number of repetitions.",Strength,Beginner,0.43
100,barbell skier,shoulders,delts,barbell,"triceps, core","Stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip.  Bend your knees slightly and hinge forward at the hips, keeping your back straight and chest up.  Simultaneously lift the barbell up towards your shoulders while jumping slightly off the ground.  As you reach the top of the movement, quickly reverse the motion and lower the barbell back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
105,barbell standing bradford press,shoulders,delts,barbell,"triceps, upper back","Stand with your feet shoulder-width apart and hold the barbell in front of your shoulders with an overhand grip.  Press the barbell overhead, fully extending your arms.  Lower the barbell back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
107,barbell standing front raise over head,shoulders,delts,barbell,"triceps, upper back","Stand with your feet shoulder-width apart, holding a barbell in front of your thighs with an overhand grip.  Keep your back straight and engage your core.  Slowly raise the barbell in front of you, keeping your arms straight and your palms facing down.  Continue lifting until the barbell is slightly above shoulder level.  Pause for a moment at the top, then slowly lower the barbell back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
82,barbell reverse wrist curl,lower arms,forearms,barbell,"biceps, brachialis","Sit on a bench with your feet flat on the ground and hold a barbell with an overhand grip, palms facing down.  Rest your forearms on your thighs, allowing your wrists to hang off the edge.  Slowly curl your wrists upward, bringing the barbell towards your body.  Pause for a moment at the top, then slowly lower the barbell back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
104,barbell standing back wrist curl,lower arms,forearms,barbell,"biceps, shoulders","Stand up straight with your feet shoulder-width apart and hold a barbell with an overhand grip.  Rest the barbell on the back of your hands with your palms facing down and your fingers pointing towards your body.  Keeping your upper arms stationary, exhale and curl your wrists upwards as far as possible.  Hold the contracted position for a brief pause, then inhale and slowly lower the barbell back to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
126,barbell wrist curl,lower arms,forearms,barbell,"biceps, brachialis","Sit on a bench with your feet flat on the ground and your forearms resting on your thighs, holding a barbell with an underhand grip.  Allow the barbell to roll down to your fingertips, keeping your wrists straight.  Slowly curl the barbell up towards your forearms by flexing your wrists.  Pause for a moment at the top, then slowly lower the barbell back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
210,cable reverse wrist curl,lower arms,forearms,cable,"forearms, wrists","Attach a cable to a low pulley and sit on a bench facing the cable machine.  Grasp the cable handle with an overhand grip, palms facing down.  Rest your forearms on your thighs, with your wrists hanging off the edge.  Keeping your forearms stationary, exhale and curl your wrists upward as far as possible.  Pause for a moment at the top, then inhale and slowly lower your wrists back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.67
224,cable standing back wrist curl,lower arms,forearms,cable,"biceps, brachialis","Stand facing a cable machine with your feet shoulder-width apart.  Hold the cable handle with an overhand grip, palms facing down.  Keep your arms straight and your elbows close to your sides.  Slowly curl your wrists upward, bringing the cable handle towards your body.  Pause for a moment at the top, then slowly lower the cable handle back to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.67
247,cable wrist curl,lower arms,forearms,cable,"biceps, brachialis","Attach a straight bar to a low pulley cable machine.  Stand facing the machine with your feet shoulder-width apart.  Grasp the bar with an underhand grip, palms facing up, and your hands shoulder-width apart.  Rest your forearms on a bench or pad, with your wrists hanging off the edge.  Keeping your forearms stationary, exhale and curl your wrists upward as far as possible.  Pause for a moment at the top, then inhale and slowly lower the bar back to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.67
347,dumbbell lying pronation,lower arms,forearms,dumbbell,"biceps, shoulders","Lie flat on a bench with your chest facing down and your arms extended straight down, holding a dumbbell in each hand.  Rotate your palms so they are facing up.  Keeping your upper arms stationary, exhale and curl the dumbbells as you rotate your palms to face down.  Inhale and slowly lower the dumbbells back to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.35
349,dumbbell lying supination,lower arms,forearms,dumbbell,"biceps, shoulders","Lie flat on a bench with your feet flat on the ground.  Hold a dumbbell in each hand with your palms facing up and your arms fully extended.  Keeping your upper arms stationary, curl the dumbbells towards your shoulders by contracting your forearms.  Pause for a moment at the top, then slowly lower the dumbbells back to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.35
29,barbell clean-grip front squat,upper legs,glutes,barbell,"quadriceps, hamstrings, calves, core","Start by standing with your feet shoulder-width apart and the barbell resting on your upper chest, with your elbows pointing forward.  Lower your body by bending your knees and pushing your hips back, as if you are sitting back into a chair.  Keep your chest up and your back straight as you lower down, making sure your knees do not go past your toes.  Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go.  Pause for a moment at the bottom, then push through your heels to stand back up, extending your hips and knees.  Repeat for the desired number of repetitions.",Strength,Advanced,0.98
32,barbell deadlift,upper legs,glutes,barbell,"hamstrings, lower back","Stand with your feet shoulder-width apart and the barbell on the ground in front of you.  Bend your knees and hinge at the hips to lower your torso and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart.  Keep your back straight and chest lifted as you drive through your heels to lift the barbell off the ground, extending your hips and knees.  As you stand up straight, squeeze your glutes and keep your core engaged.  Lower the barbell back down to the ground by bending at the hips and knees, keeping your back straight.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
